"TID","Comment","EN","JP","KR","FR","DE"
"TID_INFO_POP_UP_TOS_PP_NOTE_ANDROID",,"To play the game, please read and accept our Terms of Service and Privacy Policy.","本ゲームをプレイするには、弊社のサービス利用規約およびプライバシーポリシーを必ずご一読ください。","게임을 플레이하려면 이용 약관 및 개인정보 처리방침을 읽고 동의하세요.","Pour jouer au jeu, veuillez lire et accepter les conditions d'utilisation et la politique de confidentialité.","Bitte lies und akzeptiere unsere Nutzungsbedingungen und Datenschutzrichtlinien, um das Spiel zu spielen."
"TID_INFO_POP_UP_TOS_PP_BUTTON1",,"Accept","承諾","동의","Accepter","Akzeptieren"
"TID_INFO_POP_UP_TOS_PP_BUTTON2",,"Terms of Service","サービス利用規約","이용 약관","Conditions d'utilisation","Nutzungsbedingungen"
"TID_INFO_POP_UP_TOS_PP_BUTTON3",,"Privacy Policy","プライバシーポリシー","개인정보 처리방침","Politique de confidentialité","Datenschutzrichtlinien"
"TID_UPGRADE_TECH_TO_UNLOCK",,"Research <TECH_NAME> to unlock!","<TECH_NAME>を開発してアンロックしましょう！","<TECH_NAME> 연구로 잠금 해제!","Recherchez <TECH_NAME> pour débloquer.","Zum Freischalten <TECH_NAME> erforschen!"
"TID_UPGRADE_TECH_TO_UNLOCK_MORE",,"Research <TECH_NAME> to unlock more!","<TECH_NAME>を開発してさらにアンロックしましょう！","<TECH_NAME> 연구로 더 많이 잠금 해제!","Recherchez <TECH_NAME> pour en débloquer plus.","<TECH_NAME> erforschen, um mehr freizuschalten!"
"TID_POPUP_UPGRADE_TITLE",,"UPGRADE <name> TO LEVEL <number>?","<name>をレベル<number>にアップグレード","<name>: <number>레벨로 업그레이드할까요?","Améliorer <name> au niveau <number> ?","<name> AUF LEVEL <number> VERBESSERN?"
"TID_ALERT_CAT_FREE",,"Free","休憩中","무료","Gratuit","Frei"
"TID_ALERT_CAT_IDLE",,"Waiting","待機中","대기 중","Attend","Wartet"
"TID_ALERT_CAT_BUSY",,"Working","作業中","일하는 중","Travaille","Arbeitet"
"TID_ALERT_CAT_BLOCKED",,"Blocked","中断","차단됨","Bloqué","Blockiert"
"TID_ALERT_CAT_POTENTIAL",,"Visiting","訪問中","방문 중","En visite","Auf Besuch"
"TID_MENU_CAT_BUILDABLE",,"Buildable","建設可能","건설 가능","Constructible","Konstruierbar"
"TID_MENU_CAT_LOCKED",,"Locked","ロック中","잠김","Bloqué","Gesperrt"
"TID_MENU_CAT_MAXED",,"Maxed","最大レベル","최대","Au maximum","Maximum"
"TID_ERROR_POP_UP_BANNED_TITLE",,"YOU HAVE BEEN BANNED!","利用停止中！","계정 일시 정지","Bannissement","DU WURDEST GESPERRT!"
"TID_ERROR_POP_UP_BANNED",,"You have been banned temporarily","このアカウントは、一時的に利用停止となりました。","계정이 일시적으로 정지되었습니다.","Vous avez été banni temporairement.","Du wurdest vorübergehend gesperrt"
"TID_ERROR_POP_UP_BANNED_BUTTON",,"Okay","OK","확인","OK","Okay"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE",,"CONNECTION ERROR","接続エラーが発生しました","연결 오류","Erreur de connexion","VERBINDUNGSFEHLER"
"TID_ERROR_POP_UP_CONNECTION_FAILED",,"Unable to connect with the server. Check your internet connection and try again.","サーバーに接続できません。ご利用のインターネット接続をご確認のうえ、再度お試しください。","서버에 연결할 수 없습니다. 인터넷 연결을 확인하고 다시 시도해주세요.","La connexion au serveur a échoué. Veuillez vérifier votre connexion Internet et réessayer.","Verbindung zum Server kann nicht hergestellt werden. Überprüfe deine Internetverbindung und versuche es erneut."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON",,"Try again","再試行","재시도","Réessayer","Erneut versuchen"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE",,"CONNECTION LOST","接続が遮断されました","연결 끊김","Connexion interrompue","VERBINDUNGSABBRUCH"
"TID_ERROR_POP_UP_CONNECTION_LOST",,"You have lost connection with the server. Check your internet connection and try again.","サーバーとの接続が遮断されました。ご利用のインターネット接続をご確認のうえ、再度お試しください。","서버 연결이 끊어졌습니다. 인터넷 연결을 확인하고 다시 시도해주세요.","La connexion au serveur a été interrompue. Veuillez vérifier votre connexion Internet et réessayer.","Du hast die Verbindung zum Server verloren. Überprüfe deine Internetverbindung und versuche es erneut."
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON",,"Try again","再試行","재시도","Réessayer","Erneut versuchen"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE",,"ANYONE THERE?","もしもーし？","거기 계세요?","Inactivité","NOCH DA?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED",,"You have been disconnected due to inactivity.","しばらく操作がなかったため、ゲームからログアウトしました。","활동이 없어 연결이 끊어졌습니다.","Vous avez été déconnecté en raison d'une inactivité prolongée.","Deine Verbindung wurde aufgrund von Inaktivität getrennt."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON",,"Reload game","再起動","게임 다시 불러오기","Recharger le jeu","Spiel erneut laden"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE",,"LOGIN FAILED","ログインエラーが発生しました","로그인 실패","Échec de la connexion","ANMELDUNG FEHLGESCHLAGEN"
"TID_ERROR_POP_UP_LOGIN_FAILED",,"Please try again later.","しばらく待ってから再度お試しください。","나중에 다시 시도해주세요.","Veuillez réessayer plus tard.","Bitte versuche es später erneut."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON",,"Try again","再試行","재시도","Réessayer","Erneut versuchen"
"TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_TITLE",,"GAME OPEN ON ANOTHER DEVICE","別のデバイスが接続中です","다른 기기에서 게임 접속","Jeu ouvert sur un autre appareil","SPIEL AUF ANDEREM GERÄT GEÖFFNET"
"TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE",,"You are already logged into the game from another device. If you want to play on this device, please close the game on your other device.","このアカウントは、すでに別のデバイスからログインされています。このデバイスでプレイしたい場合は、もう一方のデバイスでゲームを終了してください。","다른 기기에서 이미 게임에 로그인했습니다. 본 기기에서 플레이하려면 다음 기기에서 게임을 종료해 주세요.","Vous êtes déjà connecté au jeu depuis un autre appareil. Si vous voulez jouer sur cet appareil, veuillez fermer le jeu sur l'autre appareil.","Du bist bereits auf einem anderen Gerät im Spiel angemeldet. Wenn du auf diesem Gerät spielen möchtest, schließe das Spiel bitte auf deinem anderen Gerät."
"TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_BUTTON",,"Okay","OK","확인","OK","Okay"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE",,"UPDATE IS AVAILABLE!","アップデートが届きました！","업데이트 이용 가능!","Mise à jour disponible","UPDATE VERFÜGBAR!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION",,"Good news! A new version of the game is available.","嬉しいお知らせです！ゲームの最新バージョンがリリースされました。","좋은 소식입니다! 게임의 신규 버전을 다운로드할 수 있습니다!","Bonne nouvelle ! Une nouvelle version du jeu est disponible.","Gute Nachrichten! Eine neue Version des Spiels ist verfügbar."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON",,"Update","アップデート","업데이트","Mettre à jour","Update"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE",,"ERROR!","エラーが発生しました","오류!","Erreur","FEHLER!"
"TID_ERROR_POP_UP_OUT_OF_SYNC",,"Client and server are out of sync!","クライアントとサーバーが同期していません！","클라이언트와 서버 동기화 오류 발생!","Le client et le serveur ne sont pas synchronisés.","Client und Server sind nicht synchronisiert!"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON",,"Reload game","再起動","게임 다시 불러오기","Recharger le jeu","Spiel erneut laden"
"TID_SHUTDOWN_STARTED",,"Everdale is going offline for a short maintenance break!","エバーデールはメンテナンス中により、しばらくプレイできません！","서버 점검 때문에 잠시 동안 에버데일이 오프라인 상태가 됩니다.","Everdale va être mis en pause pour une courte maintenance.","Everdale geht für eine kurze Wartungspause offline!"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE",,"MAINTENANCE BREAK","メンテナンス中です","서버 점검","Maintenance","WARTUNGSPAUSE!"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE",,"Sorry, the servers are under maintenance. Please try again later.","申し訳ございません。ただ今メンテナンス中です。しばらく待ってから再度お試しください。","죄송합니다. 서버 점검 중입니다. 잠시 후 다시 시도해주세요.","Nos serveurs sont en cours de maintenance. Nous nous excusons pour la gêne occasionnée et vous prions de bien vouloir réessayer plus tard.","Tut uns leid, die Server werden gerade gewartet. Bitte versuche es später erneut."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_SOON",,"Sorry, the servers are under maintenance. Please try again later.","申し訳ございません。ただ今メンテナンス中です。しばらく待ってから再度お試しください。","죄송합니다. 서버 점검 중입니다. 잠시 후 다시 시도해주세요.","Nos serveurs sont en cours de maintenance. Nous nous excusons pour la gêne occasionnée et vous prions de bien vouloir réessayer plus tard.","Tut uns leid, die Server werden gerade gewartet. Bitte versuche es später erneut."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_MINUTES",,"Sorry, the servers are under maintenance. Please try again later.","申し訳ございません。ただ今メンテナンス中です。しばらく待ってから再度お試しください。","죄송합니다. 서버 점검 중입니다. 잠시 후 다시 시도해주세요.","Nos serveurs sont en cours de maintenance. Nous nous excusons pour la gêne occasionnée et vous prions de bien vouloir réessayer plus tard.","Tut uns leid, die Server werden gerade gewartet. Bitte versuche es später erneut."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR",,"Sorry, the servers are under maintenance. Please try again later.","申し訳ございません。ただ今メンテナンス中です。しばらく待ってから再度お試しください。","죄송합니다. 서버 점검 중입니다. 잠시 후 다시 시도해주세요.","Nos serveurs sont en cours de maintenance. Nous nous excusons pour la gêne occasionnée et vous prions de bien vouloir réessayer plus tard.","Tut uns leid, die Server werden gerade gewartet. Bitte versuche es später erneut."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR_AND_HALF",,"Sorry, the servers are under maintenance. Please try again later.","申し訳ございません。ただ今メンテナンス中です。しばらく待ってから再度お試しください。","죄송합니다. 서버 점검 중입니다. 잠시 후 다시 시도해주세요.","Nos serveurs sont en cours de maintenance. Nous nous excusons pour la gêne occasionnée et vous prions de bien vouloir réessayer plus tard.","Tut uns leid, die Server werden gerade gewartet. Bitte versuche es später erneut."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_TWO_HOURS",,"Sorry, the servers are under maintenance. Please try again later.","申し訳ございません。ただ今メンテナンス中です。しばらく待ってから再度お試しください。","죄송합니다. 서버 점검 중입니다. 잠시 후 다시 시도해주세요.","Nos serveurs sont en cours de maintenance. Nous nous excusons pour la gêne occasionnée et vous prions de bien vouloir réessayer plus tard.","Tut uns leid, die Server werden gerade gewartet. Bitte versuche es später erneut."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_LONG",,"Sorry, the servers are under maintenance. Please try again later.","申し訳ございません。ただ今メンテナンス中です。しばらく待ってから再度お試しください。","죄송합니다. 서버 점검 중입니다. 잠시 후 다시 시도해주세요.","Nos serveurs sont en cours de maintenance. Nous nous excusons pour la gêne occasionnée et vous prions de bien vouloir réessayer plus tard.","Tut uns leid, die Server werden gerade gewartet. Bitte versuche es später erneut."
"TID_MAINTENANCE_ESTIMATED_UNKNOWN",,"Please try again later.","しばらく待ってから再度お試しください。","나중에 다시 시도해주세요.","Veuillez réessayer plus tard.","Bitte versuche es später erneut."
"TID_MAINTENANCE_ESTIMATED_SOON",,"Please try again later.","しばらく待ってから再度お試しください。","나중에 다시 시도해주세요.","Veuillez réessayer plus tard.","Bitte versuche es später erneut."
"TID_MAINTENANCE_ESTIMATED_MINUTES",,"Please try again later.","しばらく待ってから再度お試しください。","나중에 다시 시도해주세요.","Veuillez réessayer plus tard.","Bitte versuche es später erneut."
"TID_MAINTENANCE_ESTIMATED_HOUR",,"Please try again later.","しばらく待ってから再度お試しください。","나중에 다시 시도해주세요.","Veuillez réessayer plus tard.","Bitte versuche es später erneut."
"TID_MAINTENANCE_ESTIMATED_HOUR_AND_HALF",,"Please try again later.","しばらく待ってから再度お試しください。","나중에 다시 시도해주세요.","Veuillez réessayer plus tard.","Bitte versuche es später erneut."
"TID_MAINTENANCE_ESTIMATED_TWO_HOURS",,"Please try again later.","しばらく待ってから再度お試しください。","나중에 다시 시도해주세요.","Veuillez réessayer plus tard.","Bitte versuche es später erneut."
"TID_MAINTENANCE_ESTIMATED_LONG",,"Please try again later.","しばらく待ってから再度お試しください。","나중에 다시 시도해주세요.","Veuillez réessayer plus tard.","Bitte versuche es später erneut."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON",,"Try again","再試行","재시도","Réessayer","Erneut versuchen"
"TID_POPUP_PURCHASE_FAILED_TITLE",,"PURCHASE FAILED","購入エラー","구매 실패","Échec de l'achat","KAUF FEHLGESCHLAGEN"
"TID_POPUP_PURCHASE_FAILED_BUTTON",,"Okay","OK","확인","OK","Okay"
"TID_ERROR_POP_UP_PURCHASE_FAILED_TITLE",,"PURCHASE FAILED","購入エラー","구매 실패","Échec de l'achat","KAUF FEHLGESCHLAGEN"
"TID_ERROR_POP_UP_PURCHASE_FAILED_BUTTON",,"Okay","OK","확인","OK","Okay"
"TID_ERROR_POP_UP_NATION_OUT_OF_SYNC_TITLE",,"ERROR!","エラーが発生しました","오류!","Erreur","FEHLER!"
"TID_ERROR_POP_UP_NATION_OUT_OF_SYNC",,"Valley out of sync!","エバーバレーの同期が取れていません！","에버밸리 동기화 오류!","La vallée n'est pas synchronisée.","Tal nicht synchronisiert!"
"TID_ERROR_POP_UP_NATION_TOO_FAR_AHEAD_TITLE",,"ERROR!","エラーが発生しました","오류!","Erreur","FEHLER!"
"TID_ERROR_POP_UP_NATION_TOO_FAR_AHEAD",,"Game out of sync","ゲームの同期が取れていません","게임 동기화 오류","Le jeu n'est pas synchronisé.","Spiel nicht synchronisiert!"
"TID_ERROR_POP_UP_TOO_FAR_BEHIND_TITLE",,"ERROR!","エラーが発生しました","오류!","Erreur","FEHLER!"
"TID_ERROR_POP_UP_TOO_FAR_BEHIND",,"Client got too far behind the server!","クライアントの動作がサーバーより大幅に遅れています","클라이언트가 서버보다 너무 뒤처졌습니다!","Le client a pris trop de retard sur le serveur.","Client hängt zu weit hinter dem Server!"
"TID_ERROR_POP_UP_TOO_FAR_AHEAD_TITLE",,"ERROR!","エラーが発生しました","오류!","Erreur","FEHLER!"
"TID_ERROR_POP_UP_TOO_FAR_AHEAD",,"Client got too far ahead of the server!","クライアントの動作がサーバーより先行しすぎています","클라이언트가 서버보다 너무 앞서있습니다!","Le client a pris trop d'avance sur le serveur.","Client ist zu weit vor dem Server!"
"TID_ERROR_POP_UP_UNSUPPORTED_COUNTRY_TITLE",,"LOGIN FAILED","ログインエラーが発生しました","로그인 실패","Échec de la connexion","ANMELDUNG FEHLGESCHLAGEN"
"TID_ERROR_POP_UP_UNSUPPORTED_COUNTRY",,"Sorry, this game is not available in your country yet.","申し訳ございません。お住まいの地域では、まだこのゲームをご利用いただけません。","죄송합니다. 해당 국가에서는 아직 게임을 이용할 수 없습니다.","Ce jeu n'est pas encore disponible dans votre pays. Nous sommes navrés pour la gêne occasionnée.","Tut uns leid, dieses Spiel ist in deinem Land noch nicht verfügbar."
"TID_ERROR_POP_UP_UNSUPPORTED_COUNTRY_BUTTON",,"Okay","OK","확인","OK","Okay"
"TID_HINT_WELCOME",,"Let's create a beautiful Valley together! It's going to be lovely!","美しいエバーバレーを一緒に作りましょう！さらに楽しくなりますよ！","함께 아름다운 에버밸리를 만들어봐요! 정말 멋질 거예요!","Nous allons créer ensemble une vallée absolument magnifique.","Lass uns zusammen ein wunderschönes Tal gestalten! Das wird zauberhaft!"
"TID_HINT_CHEERLEADING_1",,"It's another beautiful day! Thank the spirits!","今日もいい天気ですね！精霊たちに感謝しないと！","오늘도 아름다운 날이네요! 고마워요, 정령들!","Quelle journée magnifique ! Les esprits veillent sur nous.","Was für ein schöner neuer Tag! Dankt den Geistern!"
"TID_HINT_CHEERLEADING_2",,"The world is waiting to see how far you can grow!","あなたの成長ぶりを世界中の皆が楽しみにしています！","무한한 성장이 가능한 당신을 기다리고 있어요!","Tout le monde a hâte de voir vos progrès !","Die Welt wartet darauf zu sehen, wie weit du wächst!"
"TID_HINT_CHEERLEADING_3",,"The Valley is filled with friendly folks. Don't be a stranger!","エバーバレーにはフレンドリーな仲間がたくさんいます。親しくなりましょう！","에버밸리의 사람들은 아주 친절하답니다! 자주 들러주세요!","La vallée est pleine de gens formidables. Allez vite les rencontrer !","Das Tal ist voller freundlicher Leute. Gehe auf sie zu!"
"TID_HINT_CHEERLEADING_4",,"Soup. It's what the people want!","スープはみんなの大好物です！","이게 바로 사람들이 원하는 수프예요!","La soupe. C'est ce que veulent les gens.","Suppe. Das ist es, was die Leute wollen!"
"TID_HINT_CHEERLEADING_5",,"Take your time! There's no need to rush.","急ぐ必要はありません！ゆっくり楽しみましょう。","천천히 하세요! 서두를 필요 없어요.","Prenez votre temps, il n'y a pas d'urgence.","Nimm dir Zeit! Es gibt keinen Grund zur Eile."
"TID_HINT_CHEERLEADING_6",,"People say the Valley holds some marvelous secrets...","エバーバレーには不思議な秘密があると言われています...","사람들이 말하길 에버밸리에는 아주 놀라운 비밀이 있다는데요...","Les gens disent que la vallée recèle des secrets merveilleux...","Die Leute sagen, das Tal birgt einige wundersame Geheimnisse ..."
"TID_HINT_CHEERLEADING_7",,"Spirits come in all sizes, from adorably small, to very, very large.","精霊には、小さくてかわいらしいものから、とんでもなく巨大なものまで、色んな形のものがいます。","작고 앙증맞은 정령부터 아주아주 큰 정령까지, 정령의 크기는 매우 다양합니다.","Il y a des esprits de toutes les tailles : des tout petits tout mignons, et des très, très grands.","Geister kommen in allen Größen – von niedlich klein bis sehr, sehr groß."
"TID_HINT_CHEERLEADING_8",,"You'll find spirits on the ground, under the sea and even in the air!","精霊は、陸や海、そして空に至るまで、様々な場所で暮らしています。","땅과 바다, 심지어 하늘에서도 정령을 찾을 수 있어요!","Vous rencontrerez des esprits sur terre, sur mer et même dans les airs.","Du findest Geister auf dem Boden, unter der Meeresoberfläche und sogar in der Luft!"
"TID_HINT_CHEERLEADING_9",,"Why not take a moment to see how far you've come?","ちょっと寄り道して、これまでの道のりを振り返ってみませんか？","어디까지 왔는지 잠시 시간을 내서 확인해 보실래요?","Pourquoi ne pas faire une pause et vous féliciter pour tout ce que vous avez accompli ?","Warum nimmst du dir nicht einen Moment und schaust dir an, wie weit du gekommen bist?"
"TID_HINT_GENERAL_1",,"Make sure to stockpile some goods for future tasks.","将来のタスクに備えて、アイテムは常に蓄えておきましょう。","향후 작업을 위해 일부 물품을 비축해 두세요.","N'hésitez pas à faire des stocks de produits pour les tâches à venir.","Denk dran, ein paar Güter für spätere Aufgaben zurückzulegen."
"TID_HINT_VILLAGE_1",,"Need food now? Open the Village Kitchen to make soup instantly!","食糧が足りない場合は、村のキッチンですぐにスープを生産できます！","먹을 게 필요하세요? 마을 주방을 열어 즉시 수프를 만드세요!","Un petit creux ? Ouvrez la cuisine du village pour mitonner une bonne petite soupe !","Brauchst du dringend was zu Essen? Öffne die Dorfküche und koche direkt Suppe!"
"TID_HINT_VILLAGE_2",,"Assign your villagers to pick berries and mushrooms, then turn the Boost on!","ベリーやキノコの採集に村人を割り当てて、たくさんスープを作りましょう！","마을 주민을 배정해 베리와 버섯을 따서 부스터 옵션을 켜세요!","Demandez à vos villageois de cueillir des baies ou de ramasser des champignons, puis activez le boost !","Schick deine Dorfbewohner Beeren pflücken und Pilze sammeln und aktiviere dann den Boost!"
"TID_HINT_VILLAGE_3",,"You can change the color of your villagers' homes and clothes!","村人の家や服の色は変更することができます！","마을 주민의 집과 옷의 색을 변경할 수 있습니다.","Vous pouvez changer la couleur des maisons et des vêtements des villageois.","Du kannst die Farbe der Häuser und der Kleidung deiner Dorfbewohner wechseln!"
"TID_HINT_VILLAGE_4",,"To train villagers, research Education and build Guilds.","村人を訓練するには、教育を開発してギルドを建設しましょう。","마을 주민을 훈련시키려면 교육을 연구하고 길드를 건설하세요.","Pour former les villageois, effectuez des recherches sur l'éducation et construisez des guildes.","Erforsche Bildung und baue Gilden, um deine Dorfbewohner zu trainieren."
"TID_HINT_VILLAGE_5",,"If you never want to run out of food, always have a villager farming pumpkins.","常に食糧を確保したいなら、村人を1人カボチャ畑の農作業に当てておきましょう。","식량이 떨어지지 않도록 하려면 항상 마을 주민에게 호박 재배를 맡기세요.","Pour avoir de la nourriture toujours à disposition, demandez à un villageois de cultiver des citrouilles.","Wenn du willst, dass dir niemals das Essen ausgeht, lasse einen Dorfbewohner stets Kürbisse anbauen."
"TID_HINT_VILLAGE_6",,"Most potions make your villagers walk faster.","ほとんどのポーションは、村人の移動速度をアップします。","대부분의 물약은 마을 주민이 빨리 이동할 수 있도록 해줍니다.","La plupart des potions font marcher les villageois plus vite.","Die meisten Tränke erhöhen das Gehtempo deiner Dorfbewohner."
"TID_HINT_VILLAGE_7",,"Hold your finger on a building to move it.","建物の上で長押しすると移動できます。","건물을 길게 누르면 옮길 수 있습니다.","Maintenez le doigt appuyé sur un bâtiment pour le déplacer.","Halte deinen Finger über einem Gebäude, um es zu verschieben."
"TID_HINT_VILLAGE_8",,"Try arranging buildings to be more convenient for your villagers.","建物は、村人の動線を考えて配置するようにしましょう。","마을 주민들이 더 편리하게 이용할 수 있도록 건물을 재배치해 보세요.","Essayez d'organiser votre village au mieux possible pour les villageois.","Versuche, Gebäude sinnvoll für deine Dorfbewohner zu platzieren."
"TID_HINT_VILLAGE_9",,"Want production analytics? Tap on resource icons in the top right corner. You must be smart!","生産状況を分析したい場合は、画面右上の資源アイコンをタップしてみましょう。論理的ですね！","생산 분석이 필요하세요? 우측 상단의 자원 아이콘을 눌러보세요.","Pour consulter les données de production, appuyez sur les icônes de ressources dans le coin en haut à droite.","Möchtest du Produktionsanalysen? Dann tippe auf die Ressourcensymbole in der oberen rechten Ecke. Geh mit Verstand an die Dinge ran!"
"TID_HINT_VILLAGE_10",,"To rename a villager, open their info and tap the three dots.","村人の名前を変更するには、それぞれの情報画面で三点リーダーをタップしましょう。","마을 주민 이름을 변경하려면 해당 주민의 정보 창을 열어 점 3개 아이콘을 누르세요.","Pour renommer un villageois, accédez à leurs informations et appuyez sur les points de suspension.","Um Dorfbewohner umzubenennen, öffne ihr Infofenster und tippe auf die drei Punkte."
"TID_HINT_VILLAGE_11",,"When going to bed, assign villagers to long tasks like construction and research.","寝る前には、建設や開発など時間がかかる作業に村人を割り当てましょう。","잠자러 갈 때는 건설이나 연구처럼 시간이 오래 걸리는 작업에 마을 주민을 배정하세요.","Si vous allez vous coucher, demandez aux villageois d'effectuer des constructions et des recherches.","Weise den Dorfbewohnern vor dem Schlafengehen länger dauernde Aufgaben wie Bau- und Forschungsprojekte zu."
"TID_HINT_VILLAGE_12",,"Spirit Gifts are free for the sender and receiver!","精霊の贈り物は、贈るのも無料、受け取るのも無料です！","정령 선물은 보내는 것도 받는 것도 모두 무료입니다!","Les cadeaux d'esprits sont à envoyer ou à recevoir gratuitement.","Geistgeschenke sind für den Sender und Empfänger gratis!"
"TID_HINT_VILLAGE_13",,"Use Deco Gems to purchase decorations and outfits.","デコレーションクリスタルを使って、デコレーションや衣装を購入しましょう。","장식 보석을 사용해 장식과 의상을 구매하세요.","Achetez des décorations et des tenues grâce aux gemmes de décoration.","Nutze Schmuckjuwelen, um Dekorationen und Kostüme freizuschalten."
"TID_HINT_VILLAGE_14",,"Unlock Animal Handling to assign villagers to Bee Hive, Chicken Coop and Cow Barn. ",,,,
"TID_HINT_VILLAGE_15",,"Assign villagers to animal based buildings (like the Chicken Coop) to boost production! ",,,,
"TID_HINT_VALLEY_1",,"You can compete with other Valleys on the leaderboards.","同じエバーバレーに所属する村とは、ランキングで競い合うことができます。","순위표에서 다른 에버밸리와 경쟁할 수 있습니다.","Vous pouvez voir les autres vallées dans les classements.","Du kannst dich mit anderen Tälern in der Bestenliste messen."
"TID_HINT_VALLEY_2",,"Each Valley can have a maximum of 10 villages.","各エバーバレーには、最大10個の村が所属できます。","각 에버밸리에는 최대 10개의 마을이 들어갈 수 있습니다.","Chaque vallée contient au maximum dix villages.","Jedes Tal kann maximal 10 Dörfer haben."
"TID_HINT_VALLEY_3",,"If you join a different Valley, you will keep your current reputation.","他のエバーバレーに参加しなおす場合、獲得した評判はそのままキープすることができます。","다른 에버밸리에 가입해도 현재 명성을 유지할 수 있습니다.","Si vous rejoignez une autre vallée, vous conservez votre réputation.","Wenn du einem anderen Tal beitrittst, behältst du deinen aktuellen Ruflevel."
"TID_HINT_VALLEY_4",,"Only Elders can suggest to kick players.","プレイヤーの追放を提案できるのは長老のみです。","플레이어 추방을 제안하는 권한은 장로에게만 있습니다.","Seuls les anciens peuvent proposer d'exclure un joueur.","Nur Älteste können Spieler zum Rauswerfen vorschlagen."
"TID_HINT_VALLEY_5",,"Only Elders can choose Valley research and start Valley building projects.","エバーバレーにおける開発を選んで建設を開始できるのは、長老のみです。","에버밸리 연구를 선택하고 에버밸리 건설 프로젝트를 시작하는 권한은 장로에게만 있습니다.","Les anciens peuvent choisir les recherches de vallée et lancer des projets de construction de vallée.","Nur Älteste können Forschungs- und Bauprojekte im Tal auswählen und beginnen."
"TID_HINT_VALLEY_6",,"If you have accumulated 30000 reputation in your Valley, you can be elected to honorary Founder.","エバーバレーにおける評判ポイントが30,000に到達すると、創設者に選出される権利が得られます。","에버밸리 명성이 30,000에 도달하면 명예 설립자로 선출될 수 있습니다.","Si vous avez 30 000 points de réputation dans votre vallée, vous pouvez élire un fondateur à titre honorifique.","Wenn du in deinem Tal 30.000 Rufpunkte gesammelt hast, kannst du zum Ehrengründer gewählt werden."
"TID_HINT_VALLEY_7",,"Members can suggest promotions to Elder.","市民は、長老への昇格を提案することができます。","멤버는 장로로의 승급을 제안할 수 있습니다.","Les membres peuvent faire des suggestions de joueurs à promouvoir au rang d'ancien.","Mitglieder können Leute als Älteste vorschlagen."
"TID_HINT_VALLEY_8",,"Completing shipping tasks is a good way to earn coins or reputation points.","船のタスクを完了すると、コインや評判ポイントを獲得できます。","선박 작업을 완료하면 코인 및 명성 포인트를 획득합니다.","En terminant des tâches d'expédition, vous pouvez gagner des pièces et des points de réputation.","Das Abschließen von Frachtaufträgen eignet sich gut, um Münzen und Rufpunkte zu verdienen."
"TID_HINT_VALLEY_9",,"Earn reputation points by completing science ship tasks and Valley construction tasks.","評判ポイントは、科学船のタスクやエバーバレーの建設タスクを完了すると獲得できます。","과학선 작업과 에버밸리 건설 작업을 완료해 명성 포인트를 얻으세요.","Terminez des navires scientifiques et finissez des tâches de construction de la vallée pour gagner des points de réputation.","Verdiene Rufpunkte, indem du Forschungs-Frachtaufträge und Bauaufträge im Tal abschließt."
"TID_HINT_VALLEY_10",,"If you run out of Tokens, just wait for them to re-generate over time.","すべてのトークンを消費してしまった場合は、新しく追加されるまで待ちましょう。","토큰이 떨어지면 시간이 지난 후 다시 생성될 때까지 잠시만 기다리세요.","Si vous n'avez plus de jetons, il vous suffit d'attendre qu'ils se régénèrent.","Falls dir die Marken ausgehen, warte einfach eine Weile bis sie sich wieder auffüllen."
